Timestamp,RTT (ms),Jitter (ms),Packet Loss (%),Throughput (Kbps),Moving Avg RTT,Moving Avg Jitter,Moving Avg Loss,Normalized RTT,Normalized Jitter,Normalized Loss,Normalized Throughput
2026-03-09 20:41:49,47.0,0.0,0.0,5.45,47.0,0.0,0.0,0.235,0.0,0.0,0.000545
2026-03-09 20:41:51,29.0,18.0,0.0,8.83,38.0,9.0,0.0,0.145,0.18,0.0,0.000883
2026-03-09 20:41:52,25.0,4.0,0.0,10.24,33.666666666666664,7.333333333333333,0.0,0.125,0.04,0.0,0.001024
2026-03-09 20:41:54,20.0,5.0,0.0,12.8,30.25,6.75,0.0,0.1,0.05,0.0,0.00128
2026-03-09 20:41:55,16.0,4.0,0.0,16.0,27.4,6.2,0.0,0.08,0.04,0.0,0.0016
2026-03-09 20:41:56,21.0,5.0,0.0,12.19,26.333333333333332,6.0,0.0,0.105,0.05,0.0,0.001219
2026-03-09 20:41:57,22.0,1.0,0.0,11.64,25.714285714285715,5.285714285714286,0.0,0.11,0.01,0.0,0.001164
2026-03-09 20:41:58,19.0,3.0,0.0,13.47,24.875,5.0,0.0,0.095,0.03,0.0,0.001347
2026-03-09 20:41:59,25.0,6.0,0.0,10.24,24.88888888888889,5.111111111111111,0.0,0.125,0.06,0.0,0.001024
2026-03-09 20:42:00,20.0,5.0,0.0,12.8,24.4,5.1,0.0,0.1,0.05,0.0,0.00128
2026-03-09 20:42:01,26.0,6.0,0.0,9.85,24.545454545454547,5.181818181818182,0.0,0.13,0.06,0.0,0.000985
2026-03-09 20:42:02,26.0,0.0,0.0,9.85,24.666666666666668,4.75,0.0,0.13,0.0,0.0,0.000985
2026-03-09 20:42:03,24.0,2.0,0.0,10.67,24.615384615384617,4.538461538461538,0.0,0.12,0.02,0.0,0.001067
2026-03-09 20:42:05,34.0,10.0,0.0,7.53,25.285714285714285,4.928571428571429,0.0,0.17,0.1,0.0,0.000753
2026-03-09 20:42:06,26.0,8.0,0.0,9.85,25.333333333333332,5.133333333333334,0.0,0.13,0.08,0.0,0.000985
2026-03-09 20:42:07,23.0,3.0,0.0,11.13,25.1875,5.0,0.0,0.115,0.03,0.0,0.001113
2026-03-09 20:42:08,24.0,1.0,0.0,10.67,25.11764705882353,4.764705882352941,0.0,0.12,0.01,0.0,0.001067
2026-03-09 20:42:10,32.0,8.0,0.0,8.0,25.5,4.944444444444445,0.0,0.16,0.08,0.0,0.0008
2026-03-09 20:42:11,25.0,7.0,0.0,10.24,25.473684210526315,5.052631578947368,0.0,0.125,0.07,0.0,0.001024
2026-03-09 20:42:12,17.0,8.0,0.0,15.06,25.05,5.2,0.0,0.085,0.08,0.0,0.001506
2026-03-09 20:42:13,29.0,12.0,0.0,8.83,24.15,5.8,0.0,0.145,0.12,0.0,0.000883
2026-03-09 20:42:14,18.0,11.0,0.0,14.22,23.6,5.45,0.0,0.09,0.11,0.0,0.001422
2026-03-09 20:42:16,35.0,17.0,0.0,7.31,24.1,6.1,0.0,0.175,0.17,0.0,0.000731
2026-03-09 20:42:17,18.0,17.0,0.0,14.22,24.0,6.7,0.0,0.09,0.17,0.0,0.001422
2026-03-09 20:42:18,24.0,6.0,0.0,10.67,24.4,6.8,0.0,0.12,0.06,0.0,0.001067
2026-03-09 20:42:19,23.0,1.0,0.0,11.13,24.5,6.6,0.0,0.115,0.01,0.0,0.001113
2026-03-09 20:42:20,19.0,4.0,0.0,13.47,24.35,6.75,0.0,0.095,0.04,0.0,0.001347
2026-03-09 20:42:22,23.0,4.0,0.0,11.13,24.55,6.8,0.0,0.115,0.04,0.0,0.001113
2026-03-09 20:42:23,34.0,11.0,0.0,7.53,25.0,7.05,0.0,0.17,0.11,0.0,0.000753
